AwnsTime,Date,Nombre,Inbox,Opened,NoLead,NoInbox,Pain,Qualify,Offer,Goal,Follow,AnFollows,Win,CAM,Recom,N-Offer,Min,Link,Delay,Vehiculo
3600,27/6/2025,Elias,44,35,4,,,,8,2,30,14,,,,,,,,0
3600,26/6/2025,Laura,35,19,3,,,,3,2,56,8,,,,,,,,0
3600,26/6/2025,Elias,35,16,5,,,,8,4,37,14,,,,,,,,0
3600,25/6/2025,Laura,18,20,2,,,,7,4,28,12,,,,,,,,0
3600,25/6/2025,Elias,18,12,2,,,,10,5,75,25,,,,,,,,0
3600,24/6/2025,Laura,36,29,7,,,,10,4,38,8,,,,,,,,0
3600,24/6/2025,Elias,37,45,6,,,,4,1,44,14,,,,,,,,0
3600,23/6/2025,Laura,41,40,5,,,,8,3,47,9,,,,,,,,0
3600,23/6/2025,Elias,42,28,6,,,,10,5,14,7,,,,,,,,0
3600,21/6/2025,Elias,39,50,7,,,,7,5,64,18,,,,,,,,0
3600,22/6/2025,Laura,98,72,19,,,,8,7,39,8,,,,,,,,0
3600,21/6/2025,Laura,39,37,13,,,,6,3,41,11,,,,,,,,0
3600,20/6/2025,Laura,52,44,9,,,,7,2,46,12,,,,,,,,0
3600,20/6/2025,Elias,52,63,15,,,,7,1,45,13,,,,,,,,0
3600,19/6/2025,Laura,49,37,7,,,,5,2,30,8,,,,,,,,0
3600,19/6/2025,Elias,50,36,5,,,,6,6,71,12,,,,,,,,0
3600,18/6/2025,Elias,32,20,5,,,,14,4,66,22,,,,,,,,0
3600,18/6/2025,Laura,31,25,9,,,,8,3,49,7,,,,,,,,0
3600,17/6/2025,Laura,40,49,10,,,,7,1,40,8,,,,,,,,0
3600,17/6/2025,Elias,40,43,12,,,,9,5,6,4,,,,,,,,0
3600,15/6/2025,Laura,72,56,11,,,,8,3,29,13,,,,,,,,0
3600,16/6/2025,Elias,93,82,12,,,,9,4,34,16,,,,,,,,0
3600,14/6/2025,Elias,61,55,14,,,,22,2,84,25,,,,,,,,0
3600,13/6/2025,Laura,29,30,7,,,,7,4,75,10,,,,,,,,0
3600,13/6/2025,Elias,30,30,7,,,,12,1,60,19,,,,,,,,0
3600,12/6/2025,Elias,67,70,12,,,,7,3,13,6,,,,,,,,0
3600,11/6/2025,Laura,46,37,5,,,,7,3,34,7,,,,,,,,0
3600,10/6/2025,Laura,46,39,4,,,,10,3,43,6,,,,,,,,0
3600,9/6/2025,Laura,54,48,7,,,,8,6,59,7,,,,,,,,0
3600,8/6/2025,Laura,89,62,5,,,,15,5,66,8,,,,,,,,0
3600,11/6/2025,Elias,46,35,6,,,,13,3,45,11,,,,,,,,0
3600,9/6/2025,Elias,54,75,14,,,,9,5,21,7,,,,,,,,0
3600,7/6/2025,Elias,105,79,13,,,,15,5,32,14,,,,,,,,0
3600,6/6/2025,Laura,38,30,6,,,,6,1,30,5,,,,,,,,0
3600,6/6/2025,Elias,38,24,5,,,,10,8,67,17,,,,,,,,0
3600,5/6/2025,Laura,40,31,2,,,,2,1,29,5,,,,,,,,0
3600,5/6/2025,Elias,40,34,8,,,,8,4,4,8,,,,,,,,0
3600,4/6/2025,Laura,41,27,9,,,,5,3,40,8,,,,,,,,0
3600,4/6/2025,Elias,42,29,14,,,,4,1,68,17,,,,,,,,0
3600,3/6/2025,Laura,34,23,2,,,,7,5,31,6,,,,,,,,0
3600,3/6/2025,Elias,67,31,10,,,,6,3,30,10,,,,,,,,0
3600,2/6/2025,Laura,81,23,2,,,,6,5,32,7,,,,,,,,0
3600,2/6/2025,Elias,81,47,8,,,,7,3,21,6,,,,,,,,0
3600,1/6/2025,Laura,72,22,2,,,,5,4,44,16,,,,,,,,0
3600,31/5/2025,Elias,56,43,4,,,,10,6,45,15,,,,,,,,0
3600,30/5/2025,Laura,19,19,2,,,,2,1,40,10,,,,,,,,0
3600,30/5/2025,Elias,84,41,8,,,,12,3,60,14,,,,,,,,0
3600,29/5/2025,Laura,18,18,1,,,,3,1,62,8,,,,,,,,0
3600,29/5/2025,Elias,102,52,13,,,,7,4,6,7,,,,,,,,0
3600,28/5/2025,Sebastian,33,33,0,,,,4,2,60,16,,,,,,,,0
3600,28/5/2025,Laura,17,17,2,,,,5,4,31,5,,,,,,,,0
3600,28/5/2025,Elias,123,47,14,,,,7,2,70,20,,,,,,,,0
3600,27/5/2025,Sebastian,37,37,2,,,,6,4,54,13,,,,,,,,0
3600,27/5/2025,Elias,79,25,6,,,,5,3,14,4,,,,,,,,0
3600,27/5/2025,Laura,13,13,2,,,,5,5,50,4,,,,,,,,0
3600,26/5/2025,Sebastian,13,13,1,,,,3,1,48,2,,,,,,,,0
3600,26/5/2025,Laura,15,15,4,,,,1,1,33,5,,,,,,,,0
3600,26/5/2025,Elias,51,23,5,,,,10,5,35,8,,,,,,,,0
3600,25/5/2025,Laura,43,17,3,,,,3,1,34,3,,,,,,,,0
3600,24/5/2025,Elias,74,53,15,,,,9,4,70,20,,,,,,,,0
3600,23/5/2025,Sebastian,38,38,0,,,,7,5,16,2,,,,,,,,0
3600,23/5/2025,Laura,21,21,3,,,,3,3,16,1,,,,,,,,0
3600,23/5/2025,Elias,75,42,8,,,,11,6,10,4,,,,,,,,0
3600,22/5/2025,Laura,21,21,6,,,,1,0,6,2,,,,,,,,0
3600,22/5/2025,Sebastian,23,23,3,,,,1,1,1,1,,,,,,,,0
3600,22/5/2025,Elias,93,50,20,,,,10,4,51,16,,,,,,,,0
3600,21/5/2025,Elias,85,43,31,,,,7,4,56,14,,,,,,,,0
3600,20/5/2025,Elias,86,63,35,,,,6,3,43,12,,,,,,,,0
3600,19/5/2025,Elias,109,96,55,,,,13,2,73,17,,,,,,,,0
3600,17/5/2025,Elias,84,61,26,,,,10,5,32,10,,,,,,,,0
3600,16/5/2025,Elias,80,57,27,,,,16,9,67,21,,,,,,,,0
3600,15/5/2025,Elias,81,47,38,,,,7,6,36,12,,,,,,,,0
3600,14/5/2025,Elias,107,83,60,,,,12,3,86,22,,,,,,,,0
3600,13/5/2025,Elias,64,42,36,,,,9,2,42,12,,,,,,,,0
3600,12/5/2025,Elias,72,109,57,,,,9,3,67,19,,,,,,,,0
3600,10/5/2025,Elias,101,71,42,,,,12,4,68,17,,,,,,,,0
3600,9/5/2025,Elias,67,62,25,,,,10,7,53,22,,,,,,,,0
3600,8/5/2025,Elias,95,78,33,,,,14,7,77,21,,,,,,,,0
3600,7/5/2025,Elias,51,37,18,,,,14,5,83,20,,,,,,,,0
3600,6/5/2025,Elias,65,80,27,,,,9,3,8,3,,,,,,,,0
3600,5/5/2025,Elias,43,78,24,,,,14,8,25,8,,,,,,,,0
3600,3/5/2025,Elias,49,67,16,,,,13,6,47,16,,,,,,,,0
3600,2/5/2025,Elias,56,56,6,,,,9,3,8,3,,,,,,,,0
3600,1/5/2025,Elias,57,80,14,,,,12,7,21,5,,,,,,,,0
3600,30/4/2025,Elias,93,115,11,,,,8,6,11,6,,,,,,,,0
3600,29/4/2025,Elias,87,110,17,,,,10,1,6,4,,,,,,,,0
3600,28/4/2025,Elias,59,92,17,,,,8,5,19,6,,,,,,,,0
3600,26/4/2025,Elias,54,56,21,,,,9,8,24,8,,,,,,,,0
3600,25/4/2025,Elias,71,114,10,,,,17,7,14,5,,,,,,,,0
3600,24/4/2025,Elias,77,79,13,,,,15,4,16,4,,,,,,,,0
3600,23/4/2025,Elias,85,95,16,,,,14,7,24,5,,,,,,,,0
3600,22/4/2025,Elias,79,84,20,,,,15,5,8,2,,,,,,,,0
3600,21/4/2025,Elias,63,114,15,,,,19,6,30,9,,,,,,,,0
3600,19/4/2025,Elias,123,148,27,,,,21,8,23,6,,,,,,,,0
3600,18/4/2025,Elias,148,159,22,,,,20,5,16,10,,,,,,,,0
3600,17/4/2025,Elias,195,122,21,,,,15,7,15,3,,,,,,,,0
3600,16/4/2025,Elias,104,106,10,,,,12,5,15,5,,,,,,,,0
3600,15/4/2025,Elias,97,89,9,,,,12,8,17,7,,,,,,,,0
3600,14/4/2025,Elias,91,91,5,,,,11,5,24,8,,,,,,,,0
3600,12/4/2025,Elias,70,60,19,,,,22,4,15,7,,,,,,,,0
3600,11/4/2025,Elias,56,78,13,,,,10,5,18,8,,,,,,,,0
3600,10/4/2025,Elias,57,120,17,,,,15,4,29,9,,,,,,,,0
3600,9/4/2025,Elias,84,116,21,,,,14,6,7,4,,,,,,,,0
3600,8/4/2025,Elias,104,117,26,,,,16,9,9,3,,,,,,,,0
3600,7/4/2025,Elias,67,63,10,,,,15,5,31,10,,,,,,,,0
3600,5/4/2025,Elias,66,140,17,,,,15,8,16,6,,,,,,,,0
3600,4/4/2025,Elias,85,62,19,,,,19,3,10,2,,,,,,,,0
5259.75,2025-07-28,Elias,80,66,24,10,20,8,9,4,1,2,Mantuve tranquilidad a pesar de tantos mensajes que tenia del fin de semana por responder y pude hacer todas las aperturas,"Ver la manera de poder agilizar este nuevo reporte, al ser el primer día me demore muchísimo revisando conversación x conversación",4,8,5,4,2,0
6458.92,2025-07-28,Laura,80,56,22,9,27,9,2,2,24,5,Mantener a flote las respuestas nuevas para que fluyeran más conversaciones mientras iba saliendo de aperturas y respuestas de la noche anterior,Optimizar el tiempo en las aperturas,2,2,2,2,5,0
3341.78,2025-07-29,Laura,94,61,27,0,26,28,9,5,3,2,Priorizar las respuestas más recientes para llevar más a agenda,Hoy poner al día los seguimientos que quedaron pendientes de ayer,9,9,6,5,6,0
6216.78,2025-07-29,Elias,91,67,23,0,24,8,4,3,16,4,"Pocas horas de setteo por cortes de luz constantes en casa, así y todo pude meter 3 agendas y sumar seguimientos pendientes del viernes",Definir las preguntas de cualificación que dejamos para no hacer todas y que se pierda el lead en el camino,4,4,6,3,2,0
1144.35,2025-07-30,Laura,99,59,22,10,18,14,8,5,43,8,Mantener buen número de agendas y resolver con la reasignación de leads que ocurrió en kommo,Terminar de acomodar la propiedad de los leads ya no tan urgentes,11,8,7,5,5,0
2049.25,2025-07-30,Elias,100,82,31,7,35,23,11,5,67,14,Se dieron muchas conversaciones fluídas y pude llevar un buen workflow,"Hoy me demore mucho al hacer el reporte, ya que revise conversación por conversación para ver bien el embudo de cada lead, tengo que ver la manera de agilizar eso",11,11,9,7,1,0
1694.94,2025-07-31,Elias,75,60,25,8,25,17,7,4,49,15,Lograr una agenda despues de muchos seguimientos al lead y varios días de la apertura de la conver,"Aún optimizando el tiempo de reporte, hoy fue mas rápido que días anteriores",8,7,6,4,6,0
6815.1,2025-07-31,Laura,75,57,15,5,14,7,8,3,23,5,"Agendar por seguimiento, siempre se siente como un lead rescatado",Mejorar la velocidad de aperturas para generar más avance en las etapas en el mismo día,5,8,8,4,4,0
6815.1,2025-08-01,Laura,75,57,15,5,14,7,8,3,23,5,"Agendar por seguimiento, siempre se siente como un lead rescatado",Mejorar la velocidad de aperturas para generar más avance en las etapas en el mismo día,5,8,8,4,4,0
2181.57,2025-08-01,Elias,160,104,46,8,26,21,13,8,31,12,"Tuve un buen workflow durante el día, limpiando bandeja de entrada y alternando entre las aperturas y dando respuesta rápida a los leads, se dieron muchas agendas despues de tanto tiempo, eso es tambien por el volumen que esta llegando de leads","Voy a agregar en la interfaz de kommo los datos de pain y qualification para poner las fechas, creo que se me hará mas fácil para sacar el reporte más rápido",18,13,8,8,4,0
8350.17,2025-08-02,Laura,92,48,6,2,22,8,4,2,47,11,"Fue un día en dos partes, como win diría que avanzar las conversaciones que pude",Mejorar los tiempos,6,4,3,4,8,0
1401.19,2025-08-02,Elias,92,78,21,8,28,16,21,9,94,24,"Hace mucho no metia tantas agendas en un mismo día, tuve muchas conversaciones fluidas y un buen workflow","Aún estoy mejorando la rapidez del reporte, agilizo mucho agregar 'new pain' y 'new qualification'. Tengo sensaciones que la respuesta al primer mensaje es baja",18,21,10,10,2,0
685.32,2025-08-03,Laura,189,110,35,18,43,8,6,2,6,1,Bajar el inbox sin descuidar los leads cercanos a la agenda,Re-evaluar el orden del workflow para poder abrir más conversaciones nuevas durante el día,4,6,4,2,4,0
1100.26,2025-08-04,Elias,93,79,22,10,32,18,12,10,26,6,"Muchos chats por poner al día despues del fin de semana y muchos chats nevos para abrir, no me desespere y lo bueno es que no se perdieron leads que estaban cerca de la agenda y se concretaron ",Aún optimizando el tiempo de reporte ,11,12,11,10,5,0
1515.83,2025-08-04,Laura,93,75,29,11,35,20,6,5,49,19,Mantener bajo el inbox,Velocidad y tiempos de apertura,8,6,4,6,5,0
1593.78,2025-08-05,Elias,107,73,44,10,28,14,9,3,47,12,"Tuve una agenda que fue muy directa, se abrio mucho el lead al principio y despues de dos mensajes ya le hice la oferta ","Hacer el reporte me esta llevando una media hora aprox, porque repaso conversación x conversación para ver que no se me pase ninguna métrica y además tengo que marcar los no leads que llegaron hasta las 00 a partir de que deje de settear",10,9,7,3,3,0
4797.28,2025-08-05,Laura,107,60,27,18,29,13,5,3,32,8,El workflow de apertura más temprano,Tiempos,9,5,5,3,3,0
1212.38,2025-08-06,Elias,98,61,23,14,25,17,11,6,107,25,"Me puse al día con los seguimientos, tenia pendientes hacerlos desde el sabado y por eso tuve que modificar mi día de trabajo que me resulto útil igualmente","Aún optimizando el tiempo de reporte, no logro bajarlo de media hora, lo ideal creo que sería hacerlo aprox en 15 minutos máximo, pero por el momento para llevar correctamente el reporte lo veo difícil",7,11,9,7,6,0
8521,2025-08-06,Laura,98,70,35,9,33,16,11,2,16,6,Se está reestructurando el workflow,Seguir reestructurando el workflow,7,11,5,3,4,0
1712.97,2025-08-07,Elias,71,42,22,13,12,9,8,4,47,11,"Siento que llevo un buen flow en las conversaciones con esta estructura, si hay respuesta rápida del lead se llega a la agenda de manera rápida","Estan llegando muchos leads pero no responden a la automatización, entonces la mayoría de las aperturas son a esos mensajes automáticos que no responden",9,8,4,4,4,0
3240.13,2025-08-07,Laura,71,57,30,16,16,15,11,5,48,9,Funcionó bastante bien el nuevo worflow,Poner al día los seguimientos de apertura,11,11,7,7,6,0
1186.87,2025-08-08,Elias,73,56,26,5,16,8,5,3,50,15,"Mejore el tiempo de reporte, cada vez voy acelerando más el proceso","Esta semana bajo la respuesta al primer mensaje, tanto automático como al que hacemos manual, debemos experimentar otro mensaje de apertura",6,5,5,5,6,0
9708.81,2025-08-08,Laura,73,55,31,9,10,5,3,5,26,10,inbox 0,call days,3,3,4,3,5,0
853.95,2025-08-09,Elias,144,104,36,20,33,12,8,3,38,11,Cayeron 2 agendas al final del dia de trabajo cuando durante todo el día solo habia tenido 1,Muy poca respuesta al primer mensaje manual nuestro como asi tambien al automático y noto que los leads se quedan mucho en pain y nuestros mensajes de apertura,7,8,4,5,2,0
757.97,2025-08-11,Elias,157,113,62,18,27,10,7,3,3,5,Se dieron dos agendas por la mañana de conversaciones arrastradas que justo contestaron en ese momento,Siento que estan llegando muchos más no leads que antes y aún tengo sensaciones de que bajo mucho la respuesta a nuestro primer mensaje,8,7,5,4,6,0
2047.9,2025-08-11,Laura,157,69,28,11,28,11,3,1,21,3,la agenda del lead que se rescató en la meeting,seguimientos pendientes,5,3,1,1,4,0
1189.62,2025-08-12,Elias,124,80,50,17,21,9,8,4,90,15,El día venia flojo de agendas y se dieron varias en la última hora,"Sigue aumentando la cantidad de no leads, y la respuesta a los seguimientos es baja",8,8,4,4,6,0
1045.38,2025-08-12,Laura,124,62,32,11,18,6,5,2,38,4,La agenda de otro lead que casi se descarta,Sacar hoy lo que quedó pendiente,4,5,3,3,11,0
882.07,2025-08-13,Elias,150,110,45,8,46,17,15,3,8,5,Las 3 agendas se dieron con aperturas del mismo día,Hay que revisar la respuesta al primer mensaje y además ver la cantidad de ofertas con la cantidad de links enviados,13,15,7,5,1,0
1239.81,2025-08-13,Laura,149,105,45,17,37,13,4,1,15,7,Sacar aperturas pendientes y darle una barrida desde toda esta semana para verificar que no se haya quedado nada perdido,Velocidad de limpiar la bandeja,6,4,4,3,21,0
2094.7,2025-08-14,Elias,99,80,25,16,37,17,9,8,101,26,Se dio un buen número de agendas y además me puse al día con más seguimientos,"Note un poco de menos leads que los días anteriores, veremos como sigue el resto de los días",10,9,6,8,3,0
8783.35,2025-08-14,Laura,98,104,45,22,54,17,6,2,138,27,Ir avanzando conversaciones empezadas,Ver como mejorar para que no se queden despues del link,4,6,4,4,3,0
2188.46,2025-08-15,Elias,84,62,14,11,38,18,12,5,60,18,"Tuve un buen workflow toda la semana, voy agarrando ritmo a la nueva organización y mejorando la velocidad de respuesta","Estos ultimos dias creo que mejoro la respuesta al primer mensaje, pero es para tener en cuenta de que mejorar para los próximos días. Aún optimizando los tiempos del reporte",12,12,4,4,9,0
975.81,2025-08-16,Elias,182,127,31,22,69,25,17,8,87,19,"La tranquilidad y el workflow que tuve durante todo el día para llevar tantas conversaciones, abrir y dar respuesta rápido, me gusto a pesar de las poquitas agendas, hice muchas ofertas","Analizar nuestro mensaje de 'pain' hay muchos que se quedan en esa etapa, una vez que damos devolución y hacemos la pregunta correspondiente",17,17,10,8,2,0
761.58,2025-08-15,Laura,84,72,26,14,33,17,6,3,59,10,Aumentar los seguimientos,optimizar los tiempos y cargar en kommo las respuestas mas usadas,6,6,2,2,3,0
82.61,2025-08-18,Elias,84,129,31,12,87,45,15,4,19,5,"Tranquilidad ante tantos mensajes por responder, se avanzaron muchas conversaciones que se pueden transformar en agendas en estos días","Tengo buenas sensaciones con el cambio del mensaje de pain para que no se queden muchos leads en esa etapa, veremos como sigue el resto de los días",15,15,9,7,2,0
6386.49,2025-08-18,Laura,240,75,18,5,67,39,13,7,16,8,Bajarle a la presión dio buenos resultados,Ir adaptandome a los ajustes que optimizan el tiempo para responder cada vez más rapido,12,13,10,8,5,0
2514.01,2025-08-19,Elias,115,100,22,13,37,29,12,8,31,8,"Se dieron varias agendas ayer, hay que seguir con este ritmo","Aumentar seguimientos en la primera parte de las etapas, apertura, pain, qualification",13,12,13,10,4,0
7300.36,2025-08-19,Laura,115,37,9,3,23,14,3,1,6,1,"No irme en blanco, haber logrado 1 agenda","Settee menos horas porque tuve que resolver una emergencia personal, hoy queda poner al día lo que falto ayer",5,3,2,2,3,0
1456.61,2025-08-20,Elias,124,98,27,25,37,12,10,3,36,10,"La velocidad de respuesta, teniendo un buen workflow diario","No estoy llegando por tiempos a hacer seguimientos a los mensajes de las primeras etapas, hay que testear en conjunto con Santi el hacerlo masivo pero bien, y no que se le mande a todos por igual, tanto no leads como agendados, etc...",14,10,8,9,4,0
1871.89,2025-08-20,Laura,124,95,28,5,72,39,21,10,13,2,10 agendas y la bandeja de sin responder al día,Marcar las aperturas al bot pendientes,19,21,14,12,2,0
1556.01,2025-08-21,Elias,94,71,33,8,34,16,10,7,22,10,"Perdi bastante tiempo en organizar y limpiar la bandeja con los seguimientos automatizados, a pesar de eso se dio un buen número de agendas","Esta semana no me dio tiempo a hacer seguimientos a los mensajes de las primeras etapas, hay que ver la mejor manera de poder hacer esos seguimientos automáticos sin tanto margen de error",10,10,5,8,6,0
2523.98,2025-08-21,Laura,94,90,26,32,52,37,20,5,18,5,Ha funcionado el gameplan,Seguir con el gameplan,9,20,8,8,3,0
1290.56,2025-08-22,Elias,84,65,26,6,36,15,8,10,31,11,"Se dieron 10 agendas asi que super win, no recuerdo haber agendado 10 en este año, yo creo que si, el año pasado estoy segurisimo pero este no lo recuerdo",Puliendo los seguimientos,5,8,9,9,3,0
9248.87,2025-08-22,Laura,84,80,18,12,39,19,16,7,11,3,Estar chill y enfocada ,Mantener resultados y workflow consistente,17,16,9,9,3,0
817.25,2025-08-23,Elias,231,70,38,9,31,14,9,2,79,20,"Pobre un horario diferente de setteo y no funcionó mucho por las agendas, solo se dieron 2",Aún optimizando la automatización de los seguimientos,9,9,5,3,3,0
818.44,2025-08-23,Elias,231,70,38,9,31,14,9,2,79,20,"Pobre un horario diferente de setteo y no funcionó mucho por las agendas, solo se dieron 2",Aún optimizando la automatización de los seguimientos,9,9,5,3,3,0
1409.61,2025-08-24,Laura,234,139,30,24,62,16,8,3,12,2,manejo del volumen y buen workflow,seguimientos pendientes,7,8,6,5,5,0
4615.45,2025-08-25,Elias,81,102,32,15,36,25,15,3,22,8,La organización que tuve al haber tantos mensajes por responder y poner al día,Ver bien como se dieron los nuevos seguimientos automáticos para poder implementarlos en las próximas etapas,13,15,10,5,2,0
2475.87,2025-08-25,Laura,81,83,16,6,50,32,9,5,6,1,Mantener la consistencia de 5 agendas,Ubicar el mejor momento para llenar el notion y que no se acumule,10,9,6,5,7,0
1032,2025-08-26,Elias,119,98,33,12,42,15,7,5,23,8,"Una agenda que se dio despues de todos los seguimientos post vehículo, ","No estan llegando profesionales por conversión, sino mas profesionales por recurso gratuito y muchos no se preparan para un examen importante",7,7,10,8,7,0
4520.71,2025-08-26,Laura,119,45,13,5,25,14,8,0,7,1,No bajar la moral por un mal día,mantener el gameplan y revisar que paso,8,8,7,2,0,0
1068.1,2025-08-27,Elias,106,90,32,6,42,22,11,8,91,21,"Pude sumar seguimientos en las primeras etapas de pain y qualification, que no me habia dado tiempo el resto de los días",Optimizar bien los seguimientos automatizados,11,11,9,8,4,0
5705.07,2025-08-27,Laura,107,64,9,5,50,23,9,3,10,2,Una agenda a punta de seguimientos,Make it work,9,9,8,4,3,0
979.23,2025-08-28,Laura,113,116,80,4,27,25,4,3,11,2,Aperturas de no-leads pendientes,Terminar el backtracking de los ghosteos al bot,9,4,8,6,3,0
1614.9,2025-08-28,Elias,113,93,46,8,37,19,8,4,24,10,"Agendar dos odontólogas despues de haberles enviado el recurso al principio, se dieron buenas conversaciones","Aumentar los seguimientos en etapas de pain y qualification, con tantos chats no estoy llegando con los tiempos",11,8,6,6,4,0
560.26,2025-08-29,Elias,90,75,26,10,25,16,5,2,52,14,1 de las agendas se dio con los seguimientos diarios de los minutos para enviar el link ,Sumar mas seguimientos en las primeras etapas para generar mas conversaciones,8,5,2,2,9,0
2112.19,2025-08-29,Laura,90,71,39,9,29,12,10,4,5,2,el manejo de leads durante el dia,mantener resultados consistentes,11,10,5,4,4,0
1152.21,2025-08-30,Elias,172,141,72,12,41,24,17,6,133,20,"Tuve un muy buen workflow setteando solo, me senti comodo y pude hacer muchos seguimientos en etapa de qualification","Optimizar bien los seguimientos automaticos de las etapas pain y qualification, asi generamos mas conversaciones",13,17,10,7,1,0
1716.85,2025-08-31,Laura,192,86,45,11,22,26,9,2,8,3,Manejo de los leads ya abiertos ,Aperturas de bot,7,9,6,5,3,0
1717.99,2025-08-31,Laura,192,86,45,11,22,26,9,2,8,3,Manejo de los leads ya abiertos ,Aperturas de bot,7,9,6,5,3,0
1207.81,2025-09-01,Elias,82,84,36,13,40,16,8,4,24,7,"Las 4 agendas que se dieron en un lunes despues de un fin de semana, buena velocidad de respuesta","Aumentar la cantidad de seguimientos, últimamente no da el tiempo para las primeras etapas",16,8,8,4,4,0
3272.85,2025-09-01,Laura,82,80,35,15,29,16,4,1,9,2,Manejo y apertura de leads,revisar que paso con los links enviados sin agendar,5,4,4,5,7,0
1410.69,2025-09-02,Elias,78,58,22,10,28,14,10,8,23,8,Se volvio a una buena cantidad de agendas por mi parte,Sigo sintiendo hoy en día que debemos aumentar los seguimientos en las primeras etapas,11,10,10,9,4,0
1166.88,2025-09-02,Laura,78,54,25,9,18,16,3,2,8,1,Manejo de leads y de la inbox,resultados,5,3,2,1,2,0
1027.25,2025-09-03,Elias,90,70,27,8,31,19,15,5,23,8,Una de las agendas que se dio despues de todos los seguimientos post vehículo,"Sigo con los seguimientos en las primeras etapas y se podría revisar la calidad de lead 'profesional' que esta llegando, la mayoría no se prepara para un examen importante",16,15,11,7,3,0
1299.24,2025-09-03,Laura,90,77,25,19,34,14,6,1,16,3,La agenda arrastrada de hace días,hacer seguimientos en menores etapas a ver si se rescatan más conversaciones que lleguen a agenda,6,6,2,0,5,0
